"","score_file"
"R01C01-10007854",0.178
"R02C01-10020793",0.113065
"R04C01-10021658",0.226
"R05C01-10021278",0.225904
"R06C01-10023784",0.130048
"R07C01-10018910",0.178
"R08C01-10024342",0.226
"R02C01-10023962",0.13
"R04C01-10022681",0.13
"R01C01-10003838",0.178
"R02C01-10019166",0.06513
"R04C01-10025209",0.13
"R05C01-10024884",0.130048
"R06C01-10025340",0.113065
"R08C01-10025206",0.113
"R03C01-10025898",0.172864
"R04C01-10025426",0.13
"R05C01-10025471",0.130048
"R06C01-10025472",0.178
"R03C01-10024644",0.178
"R05C01-10024114",0.226
"R06C01-10023624",0.225952
"R07C01-10025290",0.13
"R08C01-10018920",0.225952
"R01C01-10021398",0.177935
"R02C01-10024609",0.178048
"R04C01-10026081",0.13
"R07C01-10013144",0.06526
"R01C01-10013442",0.130144
"R03C01-10013525",0.178
"R06C01-10013527",0.178
"R08C01-10013377",0.13
"R02C01-10013495",0.13
"R03C01-10005593",0.178
"R05C01-10010130",0.178
"R06C01-10011409",0.13
"R07C01-10012846",0.13
"R08C01-10013307",0.13
"R02C01-10011958",0.13
"R04C01-10011752",0.065048
"R07C01-10012818",0.06539
"R03C01-10013533",0.178
"R05C01-10012838",0.13
"R06C01-10012839",0.13
"R07C01-10013404",0.13
"R08C01-10013327",0.113359
"R04C01-10027917",0.178
"R05C01-10027529",0.113
"R08C01-10026271",0.13
"R03C01-10014420",0.065
"R04C01-10014436",0.178
"R05C01-10014439",0.13
"R07C01-10024257",0.178
"R08C01-10019152",0.13
"R01C01-10012841",0.06513
"R02C01-10011801",0.226
"R03C01-10013569",0.13
"R04C01-10011767",0.178
"R05C01-10011779",0.113325
"R08C01-10013536",0.130096
"R01C01-10005606",0.131056
"R02C01-10003191",0.177856
"R03C01-10012756",0.13576
"R04C01-10006964",0.161065
"R05C01-10018649",0.177472
"R06C01-10018392",0.178
"R07C01-10018522",0.13
"R01C01-10012668",0.226
"R02C01-10012661",0.13
"R03C01-10012633",0.065195
"R04C01-10011943",0.13
